locus	family	location
HML2_chr1_1p36.21b	HERVK	chr1:13458304-13467826
HML2_chr1_1p36.21c	HERVK	chr1:13678850-13688649
HERVW_chr1_1p32.3b	HERVW	chr1:55376681-55385198
HERVW_chr1_100339_w	HERVW	chr1:89390220-89397550
HML2_chr1_1q22	HERVK	chr1:155596457-155605636
HML2_chr1_1q23.3	HERVK	chr1:160660575-160669806
HERVW_chr1_100799_w	HERVW	chr1:205835460-205843927
HERVW_chr1_100891_w	HERVW	chr1:227812212-227821260
HERVW_chr2_200065_w	HERVW	chr2:17520208-17527981
HERVH_chr2_200213_h	HERVH	chr2:57454440-57462350
HERVH_chr2_200251_h	HERVH	chr2:71384906-71392739
HML5_chr2_200252_5	HERVK	chr2:71615229-71622947
HERVW_chr2_200261_w	HERVW	chr2:76098816-76106624
HERVW_chr2_200277_w	HERVW	chr2:79390297-79397480
HERVH_chr2_200401_h	HERVH	chr2:116941327-116948525
HERVW_chr2_200499_w	HERVW	chr2:143656250-143665468
HERVH_chr2_200493_h	HERVH	chr2:151809931-151819452
HML5_chr2_200552_5	HERVK	chr2:170968527-170976294
HERVW_chr2_200622_w	HERVW	chr2:181096404-181104046
HERVH_chr2_200620_h	HERVH	chr2:188422666-188430875
HERVH_chr2_200642_h	HERVH	chr2:193370805-193377910
HERVH_chr2_200654_h	HERVH	chr2:198443134-198452448
HERVE_chr2_200780_e	HERVE	chr2:232265423-232273554
HERVH_chr3_300116_h	HERVH	chr3:32109433-32117994
HERVW_chr3_300159_w	HERVW	chr3:38330899-38338816
HERVH_chr3_300153_h	HERVH	chr3:46285861-46293556
HERVH_chr3_300165_h	HERVH	chr3:48760688-48767983
HERVE_chr3_300231_e	HERVE	chr3:75186395-75194016
HML2_chr3_3p12.3	HERVK	chr3:75600465-75609150
HERVW_chr3_3q11.2	HERVW	chr3:96385318-96394288
HML2_chr3_3q12.3	HERVK	chr3:101410737-101419859
HML2_chr3_3q13.2	HERVK	chr3:112743124-112752282
HML2_chr3_3q21.2	HERVK	chr3:125609302-125618439
HERVH_chr3_300638_h	HERVH	chr3:175545273-175554011
HERVH_chr3_300655_h	HERVH	chr3:179234857-179244136
HML2_chr3_3q27.2	HERVK	chr3:185280336-185289515
HML2_chr4_4p16.3b	HERVK	chr4:3979051-3988639
HERVW_chr4_400046_w	HERVW	chr4:8422092-8429479
HML2_chr4_4p16.1a	HERVK	chr4:9123515-9133075
HML2_chr4_4p16.1b	HERVK	chr4:9659580-9669174
HERVW_chr4_400173_w	HERVW	chr4:42287454-42294913
HERVFRD_chr4_400189_f	HERVW	chr4:44990750-44998985
HERVW_chr4_4q13.3	HERVW	chr4:73791292-73798903
HERVW_chr4_400497_w	HERVW	chr4:114965541-114972972
HERVH_chr4_400704_h	HERVH	chr4:154977698-154984955
HML2_chr4_4q32.3	HERVK	chr4:165916839-165924068
HERVH_chr4_400840_h	HERVH	chr4:180641678-180649256
HML2_chr4_4q35.2	HERVK	chr4:191027414-191034701
HERVH_chr5_500034_h	HERVH	chr5:7055120-7063854
HML2_chr5_5p13.3	HERVK	chr5:30486759-30496205
HML2_chr5_5p12	HERVK	chr5:46000159-46010002
HERVW_chr5_500308_w	HERVW	chr5:59954322-59962280
HERVW_chr5_500500_w	HERVW	chr5:111779389-111787195
HERVH_chr5_500458_h	HERVH	chr5:121952586-121960069
HML2_chr5_5q33.2	HERVK	chr5:154016492-154024214
HML2_chr5_5q33.3	HERVK	chr5:156084717-156093896
HERVFRD_chr6_600085_f	HERVW	chr6:11102997-11112449
HML5_chr6_600062_5	HERVK	chr6:23161172-23168914
HML2_chr6_6p21.1	HERVK	chr6:42861409-42871367
HERVW_chr6_600338_w	HERVW	chr6:52779683-52786712
HERVH_chr6_600228_h	HERVH	chr6:78367736-78376158
HML2_chr6_6q14.1	HERVK	chr6:78426662-78436083
HERVH_chr6_600247_h	HERVH	chr6:82053645-82060877
HERVW_chr6_600462_w	HERVW	chr6:85421449-85430868
HERVW_chr6_600480_w	HERVW	chr6:89123912-89131221
HML5_chr6_600305_5	HERVK	chr6:101393055-101400251
HERVW_chr6_6q21A	HERVW	chr6:106676011-106683689
HERVW_chr6_600548_w	HERVW	chr6:111452226-111459276
HERVH_chr6_600395_h	HERVH	chr6:125211553-125218909
HERVW_chr6_600661_w	HERVW	chr6:143400938-143408841
HERVH_chr7_700081_h	HERVH	chr7:29824608-29831919
HERVW_chr7_700427_w	HERVW	chr7:114019143-114026368
HML5_chr7_700348_5	HERVK	chr7:117754143-117761906
HERVH_chr7_700429_h	HERVH	chr7:139146211-139153401
HERVE_chr7_700465_e	HERVE	chr7:149731223-149740600
HML2_chr8_8p23.1a	HERVK	chr8:7355397-7364859
HML2_chr8_8p23.1b	HERVK	chr8:8054700-8064221
HML2_chr8_8p23.1c	HERVK	chr8:12073970-12083497
HML2_chr8_8p23.1d	HERVK	chr8:12316492-12326007
HML2_chr8_8p22	HERVK	chr8:17765202-17773940
HML2_chr8_8q11.1	HERVK	chr8:47175650-47183661
HERVW_chr8_800467_w	HERVW	chr8:125912004-125919468
HERVH_chr8_800415_h	HERVH	chr8:132320509-132328096
HML2_chr8_8q24.3b	HERVK	chr8:146246648-146254211
HERVH_chr9_900092_h	HERVH	chr9:25668927-25676384
HML2_chr9_9q34.11	HERVK	chr9:131612515-131619736
HERVE_chr9_900380_e	HERVE	chr9:138328931-138336167
HML2_chr9_9q34.3	HERVK	chr9:139674766-139684228
HML2_chr10_10p14	HERVK	chr10:6866141-6875603
HML2_chr10_10q24.2	HERVK	chr10:101580569-101587745
HERVH_chr10_1000303_h	HERVH	chr10:104965198-104973410
HML2_chr11_11p15.4	HERVK	chr11:3468656-3478209
HERVE_chr11_1100021_e	HERVE	chr11:3494759-3502395
HERVW_chr11_1100102_w	HERVW	chr11:26611978-26619217
HERVH_chr11_1100229_h	HERVH	chr11:68399102-68406909
HERVH_chr11_1100323_h	HERVH	chr11:94078891-94088702
HERVH_chr11_1100327_h	HERVH	chr11:95042583-95050967
HML2_chr11_11q22.1	HERVK	chr11:101565794-101575259
HML2_chr11_11q23.3	HERVK	chr11:118591724-118600883
HERVW_chr12_1200044_w	HERVW	chr12:8914010-8921059
HML2_chr12_12p11.1	HERVK	chr12:34772555-34782222
HML2_chr12_12q14.1	HERVK	chr12:58721242-58730698
HERVW_chr12_1200267_w	HERVW	chr12:59245636-59253534
HERVW_chr12_1200523_w	HERVW	chr12:132357756-132365497
HERVW_chr13_1300194_w	HERVW	chr13:55627766-55635877
HERVW_chr14_1400021_w	HERVW	chr14:22704451-22712069
HERVFRD_chr14_1400078_f	HERVW	chr14:32709968-32719792
HERVH_chr14_1400100_h	HERVH	chr14:48724400-48733758
HERVH_chr14_1400120_h	HERVH	chr14:53595463-53602742
HERVW_chr15_15q21.3	HERVW	chr15:55597079-55604574
HERVW_chr15_1500174_w	HERVW	chr15:67261562-67268957
HERVH_chr15_1500165_h	HERVH	chr15:95293978-95303607
HERVH_chr16_1600131_h	HERVH	chr16:59548813-59556868
HERVH_chr17_1700166_h	HERVH	chr17:78373594-78381688
HERVH_chr18_1800100_h	HERVH	chr18:40041806-40049712
HERVH_chr19_1900054_h	HERVH	chr19:20198494-20207590
HERVE_chr19_1900064_e	HERVE	chr19:20929626-20938438
HML2_chr19_19q11	HERVK	chr19:28128498-28137361
HML2_chr19_19q13.12b	HERVK	chr19:37597549-37607066
HERVH_chr19_1900150_h	HERVH	chr19:46605455-46613232
HML2_chr20_20q11.22	HERVK	chr20:32714750-32724384
HML2_chr21_21q21.1	HERVK	chr21:19933659-19941962
HERVW_chr21_2100024_w	HERVW	chr21:20125054-20132866
HERVW_chr21_2100058_w	HERVW	chr21:28226756-28234298
HERVW_chr21_2100100_w	HERVW	chr21:41111191-41118353
HML2_chr22_22q11.21	HERVK	chr22:18926187-18935361
HERVH_chrX_X00289_h	HERVH	chrX:70484230-70492679
HERVH_chrX_X00302_h	HERVH	chrX:73021295-73029220
HERVH_chrX_X00304_h	HERVH	chrX:73341991-73349467
HERVH_chrX_X00382_h	HERVH	chrX:86936680-86943817
HERVE_chrX_X00426_e	HERVE	chrX:92684667-92693490
HML5_chrX_X00437_5	HERVK	chrX:93745363-93752797
HML2_chrX_Xq28b	HERVK	chrX:153836675-153844018
HERVE_chrY_Y00072_e	HERVE	chrY:8730762-8739500
HERVH_chrY_Y00086_h	HERVH	chrY:14009197-14017380
HERVW_chrY_Y00215_w	HERVW	chrY:21241824-21249386
